"","ActualEOD","ActualNTE","AvailableBudget","CountryName","DonorandFundingSource","Donor","FinancialsProjectFundingInstitution","FundingSource","GeographicalCoverage","LTODepartment","LTODivision","LTOUnit","LTUHQDecentralizedOffices","MajorProgrammeActivity","OriginalBudget","ProjectClassification","ProjectObjectives","ProjectStaffBudgetHolder","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStaffProgrammeAssistance","ProjectStatuscode","ProjectStatus","ProjectSymbol","ProjectTitle","StrategicFrameworkOrganizationResult","StrategicFrameworkStrategicObjective","StrategicFrameworkUnitResult","TotalBudgetFPMIS","TotalBudgetDWH","staff"
"11",NA,NA,"$0 ","Comoros","FAO","FAO",NA,"OT","not specified","ES","ESS","ESS","FAO HQ Organization","","$48,477 ","Assistance to Member Countries","Evaluer les conditions techniques et financières et de s?assurer de la faisabilité de l?opération RGAE (notamment la coordination et l?articulation entre les composantes agriculture, élevage, pêche, sylviculture) avec toutes les chances de succès;
Préparer un rapport de faisabilité définissant une stratégie de mise en ?uvre du RGAE et les budgets correspondants;
Formuler un document de projet détaillé du RGAE incluant la phase préparatoire; 
Discuter ces propositions avec les parties intéressées à la réalisation du RGAE. 

Plus précisément, la mission réalisera les tâches suivantes :

?    Présenter les recommandations de la FAO en matière de recensement agricole, tels qu?énoncées dans le « Programme Mondial du Recensement de l?Agriculture 2010 » ;
?    Recenser les besoins en matière de statistiques agricoles structurelles, en particulier en rassemblant et analysant toutes les informations pertinentes (y compris données statistiques) disponibles sur les stratégies de développement rural et programmes prioritaires demandeurs en données statistiques structurelles ;
?    Définir, avec toutes les parties prenantes, les objectifs, le financement et les détails de la mise en ?uvre du recensement général et l?articulation entre les volets agriculture, élevage, pêche et sylviculture (notamment par l?organisation d?une rencontre avec les principaux producteurs et utilisateurs) ;
?    Considérer les synergies et complémentarités avec les autres enquêtes et recensements surtout celui de la population et des conditions de vie des ménages ;
?    Définir le cadre organisationnel du recensement, avec ses conséquences au niveau législatif et réglementaire ;
?    Evaluer les capacités humaines et matérielles en place et identifier les besoins en formation et en assistance technique extérieure (détailler les termes de mandat des experts à recruter) ;
?    Préparer un aide-mémoire faisant la synthèse des conclusions et propositions de la mission aux principaux partenaires lors d?une rencontre à organiser à cet effet ;
?    Préparer et finaliser un rapport de faisabilité définissant une stratégie et un plan de réalisation des différentes phases et les budgets correspondants ainsi qu?un document de projet détaillé pour la mise en ?uvre du RGAE (avec un calendrier et budget détaillés), dans le format adéquat.","Talla Takoukam, P.","","Ouedraogo, E.","","OA","Operationally Active","TCP/COI/3502 BABY01","Appui pour la préparation de Recensement Général de l?Agriculture et de l?Elevage (RGAE) des Comores et la mise en place d?un Système Permanent Intégré de Statistiques Agricoles (SPISA) et d?un TCP pour l?assistance à la préparation des RGAE","204","2","","$48,477 ","$0 ","Talla Takoukam, P.  Ouedraogo, E. "
"12",NA,NA,"$353,326 ","Comoros","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$390,000 ","Assistance to Member Countries","L'objectif global du présent projet est de contribuer à la réduction de la pauvreté et de l' insécurité alimentaire grâce à des stratégies et politiques plus efficaces définies et mises en oeuvre sur la base l' informations statistiques structurelles fiables, pertinentes et actuelles et d?un système permanent d'information agricole et alimentaire pouvant stimuler la croissance du secteur agropastorale et dynamiser les espaces ruraux. Le projet vise à contribuer à l?amélioration de la production et de la diffusion des statistiques de l?alimentation et de l?agriculture pour répondre aux besoins en données pour le pilotage et/ou suivi de la SCA2D et des autres politiques sectorielles et des cadres d?intervention des agences du systèmes des Nationaux Unies (UNDAF) et des autres partenaires au développement et des Objectifs du Millénaire pour le Développement (OMD)","Talla Takoukam, P.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","","OA","Operationally Active","TCP/COI/3503","Assistance préparatoire au Recensement Général de  l?Agriculture (RGA)","101","1","","$390,000 ","$390,000 ","Talla Takoukam, P. Ouedraogo, E. N'Goma-Kimbatsa, P. "
"13",NA,NA,"$0 ","Colombia","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$35,711 ","Assistance to Member Countries","Realizar una evaluación de la propuesta del Censo Agropecuario de Colombia bajo el enfoque de instrumento base para la consolidación del Sistema Estadístico Agropecuario (SEA) y elaborar un UTF para apoyar la estructuración del SEA de Colombia en el marco de la Estrategia Global para el Desarrollo de las Estadísticas Agropecuarias","Zavala, R.","","Boero, V.","","AC","Activities Completed","TCP/COL/3401 BABY02","Evaluación del Plan Censal y Elaboración del  documento de proyecto UTF para la conducción y ejecución del III Censo Nacional Agropecuario","103","1","10301","$35,711 ","$0 ","Zavala, R.  Boero, V. "
"14",NA,NA,"$4,128 ","Colombia","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$118,000 ","Assistance to Member Countries","Incrementar las capacidades técnicas de las instituciones nacionales responsables de la seguridad alimentaria y nutricional, a traves de la transferencia de la metodología estadistica de la FAO para el calculo y estimacion de la subnutricion","Zavala, R.","","Boero, V.","Campbell Gonzalez, M.","AC","Activities Completed","TCP/COL/3402","Asistencia Técnica al Gobierno Nacional de Colombia para la transferencia de la metodología, estimación y medición del Indicador de Subnutricion","101","1","10103","$118,000 ","$118,000 ","Zavala, R.  Boero, V. Campbell Gonzalez, M."
"15",NA,NA,"$47,352 ","Cabo Verde, the Republic of","FAO","FAO",NA,"OT","Country","SO","SFW","SFW","FAO Decentralized offices","","$472,000 ","Assistance to Member Countries","Le but du projet est le renforcement de la capacité du système statistique national afin qu?il puisse produire en temps opportun des statistiques pertinentes, fiables et à jour sur le secteur agricole facilement accessibles et correspondant aux besoins prioritaires des utilisateurs.","Nono Womdim, R.","","Ouedraogo, E.","","OA","Operationally Active","TCP/CVI/3402","Assistance au renforcement du système de statistiques agricoles","201","2","","$472,000 ","$472,000 ","Nono Womdim, R.  Ouedraogo, E. "
"16",NA,NA,"$0 ","Dominican Republic","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$65,000 ","Assistance to Member Countries","Apoyar la realizacion de un Pre censo Nacional Agropecuario en la República Dominicana que permita la creacion de un marco de lista que contenga entre otras informaciones la identificacion de las y los productores agropecuarios y la ubicacion de sus respectivas explotaciones a fin de realizar un levantamiento final de datos que conduzca a la obtencion de informacion con la calidad requerida para apoyar un eficiente proceso de planificacion del desarrollo agropecuario nacional.","Gallardo, C.","Boero, V.","Castano, J.","","OA","Operationally Active","TCP/DOM/3501 BABY04","Asistencia técnica para apoyar la realizacion de un Pre censo en el marco del VIII Censo Nacional Agropecuario","204","2","20403","$65,000 ","$0 ","Gallardo, C. Boero, V. Castano, J. "
"17",NA,NA,"$0 ","Ecuador","FAO","FAO",NA,"OT","Country","RO","RLC","RLC","FAO Decentralized offices","","$54,948 ","Assistance to Member Countries","- Recomendar acciones para fortalecer el sistema de estadísticas agropecuarias continuas, para que el mismo permita proveer información de las principales variables estructurales del sector agropecuario, con un alto nivel de confiabilidad de las estimaciones.
- Generar marcos muestrales actualizados, que permitan proveer información agropecuaria y ambiental.
- Diseñar e implementar una estrategia que facilite la actualización de los marcos muestrales de forma periódica.","Peña Cruz, P.","Boero, V.","Castano, J.","","OA","Operationally Active","TCP/ECU/3501 BABY03","Apoyo al fortalecimiento del sistema nacional de estadísticas agropecuarias","204","2","20402","$54,948 ","$0 ","Peña Cruz, P. Boero, V. Castano, J. "
"18",NA,NA,"$0 ","El Salvador","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$53,390 ","Assistance to Member Countries","Efecto

Contribuir al desarrollo de herramientas de seguimiento y evaluación para proyectos y programas relacionados con la Seguridad Alimentaria y Nutricional en El Salvador.

Resultado

Implementar la Escala Latinoamericana y Caribeña de Seguridad Alimentaria (ELCSA) como una herramienta nacional para la medición de la Seguridad Alimentaria y Nutricional en El Salvador.","Gonzalez Figueroa, A.","Boero, V.","Cafiero, C.","","OA","Operationally Active","TCP/ELS/3501 BABY02","Fortalecimiento del sistema de seguimiento y evaluación de Seguridad Alimentaria Nutricional (SAN) a través del a poyo a la implementación de la Escala Latinoamericana y Caribeña de Seguridad Alimentaria (ELCSA) en El Salvador","103","1","10302","$53,390 ","$0 ","Gonzalez Figueroa, A. Boero, V. Cafiero, C. "
"19",NA,NA,"$0 ","Equatorial Guinea","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$70,188 ","Assistance to Member Countries","L?engagement de la FAO à soutenir le Gouvernement dans cette activité nécessite de disposer des moyens pour la supervision des activités pendant les phases cruciales de l?opération (recensement pilote, formation et lancement des opérations de collecte, traitement des données, analyse et validation des données). Cette supervision va permettre à la FAO de prodiguer les conseils nécessaires en temps opportun au Gouvernement et de porter un avis objectifs sur les processus et la qualité des données du recensement agricole.","Serrano, O.","Ouedraogo, E.","Castano, J.","","OA","Operationally Active","TCP/EQG/3501 BABY02","Appui pour la préparation et le suivi du Recensement de la population et de l?habitat, du recensement de l?Agriculture et de l?enquête population active, formation et emploi de Guinée Equatoriale","202","2","","$70,188 ","$0 ","Serrano, O. Ouedraogo, E. Castano, J. "
"20",NA,NA,"$0 ","Ghana","FAO","FAO",NA,"OT","Country","n.a.","n.a.","n.a.","FAO HQ Organization","","$40,773 ","Assistance to Member Countries","i) To evaluate the technical and financial conditions as well as to ensure of the feasibility of the operation.
ii) To prepare a feasibility report defining the strategy of implementation and its corresponding financial mobilization.
iii) To put together a detailed project document for the preparatory and main phases of the last Agricultural Census.
iv) To discuss these proposals with all interested stakeholders of AC.","Gebreyohannes, M.","","Ouedraogo, E.","","OA","Operationally Active","TCP/GHA/3401 BABY03","Support for the preparation of the Agriculture Census of Ghana and the implementation of a Permanent integrated System of Agricultural Statistics (PISAS)","","","","$40,773 ","$0 ","Gebreyohannes, M.  Ouedraogo, E. "
"21",NA,NA,"$76,836 ","Ghana","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$372,000 ","Assistance to Member Countries","To support and provide technical assistance to the Government of Ghana in the preparation and implementation of the Census of agriculture.","Gebreyohannes, M.","Ouedraogo, E.","","","OA","Operationally Active","TCP/GHA/3403","Implementation of the preparatory phase of the Agricultural Census of Ghana","204","2","","$372,000 ","$372,000 ","Gebreyohannes, M. Ouedraogo, E.  "
"22",NA,NA,"$180,556 ","Guatemala","FAO","FAO",NA,"OT","Country","RO","RLC","RLC","FAO Decentralized offices","","$188,000 ","Assistance to Member Countries","Fortalecer las Estadisticas Agropecuarias de Guatemala.","Recalde Leon, D.","Boero, V.","Grita, F.","Cukic, I.; Campbell Gonzalez, M.","OA","Operationally Active","TCP/GUA/3505","Programa de apoyo a Guatemala para mejorar sus istemat estadístico agropecuario y de seguridad alimentaria","103","1","10301","$188,000 ","$188,000 ","Recalde Leon, D. Boero, V. Grita, F. Cukic, I.; Campbell Gonzalez, M."
"23",NA,NA,"$45,735 ","Guyana","FAO","FAO",NA,"OT","Country","RO","RLC","RLC","FAO Decentralized offices","","$121,000 ","Assistance to Member Countries","The project will enhance the capacity of the country to collect, manage and access data aimed at improving agriculture productivity, enhancing the lives of rural populations and contributing to national food security and the growth of the country?s economy.","Robertson, R.","","Boero, V.","Campbell Gonzalez, M.","OA","Operationally Active","TCP/GUY/3402","Support for the enhancement of the National Agriculture Market Information System in Guyana.","204","2","20403","$121,000 ","$121,000 ","Robertson, R.  Boero, V. Campbell Gonzalez, M."
"24",NA,NA,"$0 ","Guyana","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$49,889 ","Assistance to Member Countries","To contribute to the strengthening of the existing agricultural statistical information system Framework of the Ministry of Agriculture. To support capacity building of the Ministry of Agriculture as well as, other national institutions involved in the collection, compilation and analysis of agriculture data and statistics.","Robertson, R.","","Chin, N.","","OA","Operationally Active","TCP/GUY/3502 BABY01","Assistance to the Government of Guyana for the strengthening of its agricultural statistical information system for evidence based decision making","103, 403, 301, 204","1, 4, 3, 2","10301, 40303, 30105, 20403","$49,889 ","$0 ","Robertson, R.  Chin, N. "
"25",NA,NA,"$91,544 ","Inter Regional","FAO","FAO",NA,"OT","Interregional","ES","ESS","ESSS","FAO HQ Organization","","$349,000 ","Assistance to Member Countries","1. Strengthening of technical capacity of national staff of pilot country (Afghanistan) and other ECO member countries. 
2. Implementation and development of the CountrySTAT system in Afghanistan which can serve as the pilot country and resource basis for the expansion to other countries. This stage of the project will provide technical support to the Government in improving delivery and access to food and agriculture statistics for the establishment and development of the CountrySTAT Afghanistan system to meet the data needs for implementation and monitoring of national plans and programs of agricultural development. 
3. Preparation of a full-fledged project proposal for implementation and development of CountrySTAT in all remaining countries over a period of 3 to 5 years. The third stage will be used as the basis for mobilization of donor funds. By that time, ECO will deploy every effort to secure donor commitment for funding.","Gennari, P.","","Grita, F.","Cukic, I.","OA","Operationally Active","TCP/INT/3401","Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries","602","6","60201","$349,000 ","$349,000 ","Gennari, P.  Grita, F. Cukic, I."
"26",NA,NA,"$75 ","Côte d'Ivoire, République de la","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$43,124 ","Assistance to Member Countries","TCP Facility","Dasylva, G.","","Ouedraogo, E.","","AC","Activities Completed","TCP/IVC/3401","TCP Facility","","","","$236,375 ","$236,375 ","Dasylva, G.  Ouedraogo, E. "
"27",NA,NA,"$0 ","Côte d'Ivoire, République de la","FAO","FAO",NA,"OT","Country","n.a.","n.a.","n.a.","FAO HQ Organization","","$43,124 ","Assistance to Member Countries","L?objectif global de la mission est (i) d?évaluer les conditions techniques et financières et de s?assurer de la faisabilité de l?opération (notamment la coordination et l?articulation entre les composantes agriculture, élevage, pêche et aquaculture, ) avec toutes les chances de succès ; (ii) de préparer un rapport de faisabilité définissant une stratégie de mise en ?uvre et de mobilisation des financements correspondants (iii) de formuler un document de projet détaillé pour la phase préparatoire (iv) et discuter ces propositions avec les parties intéressées à la réalisation du RNA.","Dasylva, G.","","Keita, N.","","AC","Activities Completed","TCP/IVC/3401 BABY01","Appui pour la préparation du RNA et la mise en place d?un SPISA","","","","$43,124 ","$0 ","Dasylva, G.  Keita, N. "
"28",NA,NA,"$3,351 ","Côte d'Ivoire, République de la","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$366,000 ","Assistance to Member Countries","L'objectif global du présent projet est d'aider le Gouvernement à assurer une croissance soutenue du secteur agricole en vue de contribuer à la lutte contre la pauvreté, au renforcement de la sécurité alimentaire et à la promotion d'un développement durable se fondant sur des stratégies et politiques plus efficaces définies et mises en oeuvre sur la base d'informations statistiques structurelles fiables, pertinentes et actuelles. De façon spécifique, le projet vise à contribuer à une augmentation de la connaissance réelle de la structure de l'agriculture à travers un soutien à la préparation du REEA par : 

Le projet vise à contribuer à l'amélioration de la production et de la diffusion des statistiques de l'alimentation et de l'agriculture pour répondre aux besoins en données pour le pilotage du PNIA, du PND, de la Stratégie de Réduction de la Pauvreté et du suivi des Objectifs du Millénaire pour le Développement (OMD) par : 

-    Réalisation du Recensement des Exploitants et des Exploitations Agricoles(selon l'approche modulaire) à travers : 

-    Modules de Base et des Données Communautaires
-    Modules Complémentaires (agriculture et élevage)
-    Conception et mise en oeuvre d'un système rénové de statistiques agricoles sur la base du REEA (avec d'autres enquêtes thématiques à spécifier)","Dasylva, G.","Ouedraogo, E.","","","OA","Operationally Active","TCP/IVC/3403","Assistance préparatoire au Recensement des Exploitants et des Exploitations Agricoles (REEA)","201","2","","$366,000 ","$366,000 ","Dasylva, G. Ouedraogo, E.  "
"29",NA,NA,"$45,660 ","Kiribati","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$69,284 ","Assistance to Member Countries","TCP Facility","Wall, G.","","","","OA","Operationally Active","TCP/KIR/3401","TCP Facility","103","1","","$69,284 ","$69,284 ","Wall, G.   "
"30",NA,NA,"$0 ","Kiribati","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$69,284 ","Assistance to Member Countries","To strengthen the statistical capacity of nationals to collect, process and analyze agricultural and food data to assess the status of food and nutrition security.","Wall, G.","","Ramasawmy, S.","","OA","Operationally Active","TCP/KIR/3401 BABY01","Strengthened statistical capacity to collect and analyze food and agricultural  data in Kiribati","103","1","10301","$69,284 ","$0 ","Wall, G.  Ramasawmy, S. "
"31",NA,NA,"$0 ","Kyrgyz Republic","FAO","FAO",NA,"OT","Country","ES","ESS","ESS","FAO HQ Organization","","$62,000 ","Assistance to Member Countries","Development of a TF agricultural census project document detailing a well planned national agricultural census in the Kyrgyz Republic","Kinlay, D.","Kvinikadze, G.","Castano, J.","Ulan Kyzy, K.","OA","Operationally Active","TCP/KYR/3501 BABY01","Assistance to the National Statistics Committee in preparing a project document for the Agricultural Census of 2016","401","4","","$62,000 ","$0 ","Kinlay, D. Kvinikadze, G. Castano, J. Ulan Kyzy, K."
"32",NA,NA,"$0 ","Libya","FAO","FAO",NA,"OT","Country","RO","RNE","RNE","FAO Decentralized offices","","$135,000 ","Assistance to Member Countries","Supporting the Ministry of Agriculture of Libya to formulate project proposal for conducting agriculture census, and provide technical support and advice in strenthening the capacity of agricultural statistics in the ministry of agriculture.","Thiombiano, L.","","Barre, M.","","OA","Operationally Active","TCP/LIB/3402 BABY01","Technical support to the Government of Libya to prepare Agriculture Census project","","","","$135,000 ","$0 ","Thiombiano, L.  Barre, M. "
"33",NA,NA,"$229,560 ","Madagascar","FAO","FAO",NA,"OT","not specified","ES","ESS","ESS","FAO HQ Organization","","$54,466 ","Assistance to Member Countries","TCP Facility","Talla Takoukam, P.","","","","OA","Operationally Active","TCP/MAG/3502","TCP Facility","101, 204","1, 2","","$299,932 ","$299,932 ","Talla Takoukam, P.   "
"34",NA,NA,"$0 ","Madagascar","FAO","FAO",NA,"OT","not specified","ES","ESS","ESS","FAO HQ Organization","","$54,466 ","Assistance to Member Countries","L'intervention assistera le pays sur les aspects suivants :
- Mise à jour, adaptation et hébergement du site de CountrySTAT-Madagascar;
- Formulation d'une Note Conceptuelle de projet pour la mise en ?uvre et le développement de CountrySTAT-Madagascar;
- Organisation d'une formation préliminaire de base du système CountrySTAT ;
- Organisation d?un atelier pour la présentation du système CountrySTAT (y compris FAOSTAT) et les grandes lignes de la Note Conceptuelle de projet de CountrySTAT-Madagascar","Talla Takoukam, P.","","Grita, F.; N'Goma-Kimbatsa, P.","","OA","Operationally Active","TCP/MAG/3502 BABY01","Appui à la mise en ouvre et au développement du système CountrySTAT à Madagascar","204","2","","$54,466 ","$0 ","Talla Takoukam, P.  Grita, F.; N'Goma-Kimbatsa, P. "
"35",NA,NA,"$140,349 ","Mauritius, Republic of","FAO","FAO",NA,"OT","Country","SO","SFS","SFS","FAO Decentralized offices","","$204,000 ","Assistance to Member Countries","-To strengthen the capability of the Government of Mauritius to develop a sustainable Food and Agriculture Statistics System so that policy and strategy discussions are based on timely and reliable data.
- To get sound Plan and Methodological Base for the Census of Agriculture.
- To enhance capacity of Statistics Mauritius and the MAIFS to collect, compile, process and analyse census and survey data

The Republic of Mauritius last conducted such a census in 1940 more than 70 years ago.","Talla Takoukam, P.","","Ouedraogo, E.","","OA","Operationally Active","TCP/MAR/3403","""Support to Census of Agriculture in Mauritius""","204","2","","$204,000 ","$204,000 ","Talla Takoukam, P.  Ouedraogo, E. "
"36",NA,NA,"$127,813 ","Mali","FAO","FAO",NA,"OT","Country","SO","SFW","SFW","FAO Decentralized offices","","$344,000 ","Assistance to Member Countries","Permettre au Mali qui se relève d?une profonde crise sociopolitique et sécuritaire, de pouvoir disposer d?informations fraîches et fiables pour la planification stratégique de son développement ainsi que pour l?élaboration de projets et programmes pertinents pour la lutte contre l?insécurité alimentaire et la pauvreté.","Seid, F.","","Ouedraogo, E.","","OA","Operationally Active","TCP/MLI/3501","Projet d`appui à la préparation du Recensement Général de l`Agriculture couplé avec celui de l`Elevage au Mali","403","4","","$344,000 ","$344,000 ","Seid, F.  Ouedraogo, E. "
